NodeID, Tauxy
254, -7.204902e+00
255, -4.940961e+01
256, -9.023737e+00
257, 4.940961e+01
258, 1.389111e-12
259, -2.528236e+00
260, 9.023737e+00
261, 1.463778e+00
262, 7.204902e+00
263, 5.107803e-01
264, 8.553483e+00
265, 9.258950e-01
266, 8.966908e+00
267, 9.087917e-01
268, 9.269038e+00
269, 9.397818e-01
270, 9.349563e+00
271, 9.376663e-01
272, 9.375906e+00
273, 9.384517e-01
274, 9.377559e+00
275, 9.375670e-01
276, 9.376406e+00
277, 9.383842e-01
278, 9.376122e+00
279, 9.395417e-01
280, 9.379930e+00
281, 9.505177e-01
282, 9.395681e+00
283, 9.591372e-01
284, 9.431843e+00
285, 9.912211e-01
286, 9.489390e+00
287, 9.139590e-01
288, 9.441974e+00
289, 5.914059e-01
290, 8.775077e+00
291, -3.877418e-01
292, 6.096999e+00
293, -1.958215e+00
294, -5.909929e-01
295, -7.847278e+00
296, 2.150998e+01
297, -7.581144e+01
298, -1.235532e+01
299, -1.900929e+01
300, 7.155728e-01
301, -1.408836e+01
302, -1.482854e+00
303, -9.608027e+00
304, -7.504951e-01
305, -9.376424e+00
306, -9.448825e-01
307, -9.236557e+00
308, -9.175675e-01
309, -9.322947e+00
310, -9.368859e-01
311, -9.353113e+00
312, -9.363333e-01
313, -9.370341e+00
314, -9.374775e-01
315, -9.373821e+00
316, -9.366262e-01
317, -9.373627e+00
318, -9.368504e-01
319, -9.372342e+00
320, -9.381010e-01
321, -9.374725e+00
322, -9.533984e-01
323, -9.398586e+00
324, -9.993820e-01
325, -9.490485e+00
326, -1.091456e+00
327, -9.732997e+00
328, -1.217221e+00
329, -1.014891e+01
330, -1.073358e+00
331, -1.003677e+01
332, -4.209359e-01
333, -7.069226e+00
334, 4.209359e-01
335, -2.905509e-12
336, 1.073358e+00
337, 7.069226e+00
338, 1.217221e+00
339, 1.003677e+01
340, 1.091456e+00
341, 1.014891e+01
342, 9.993820e-01
343, 9.732997e+00
344, 9.533984e-01
345, 9.490485e+00
346, 9.381010e-01
347, 9.398586e+00
348, 9.368504e-01
349, 9.374725e+00
350, 9.366262e-01
351, 9.372342e+00
352, 9.374775e-01
353, 9.373627e+00
354, 9.363333e-01
355, 9.373821e+00
356, 9.368859e-01
357, 9.370341e+00
358, 9.175675e-01
359, 9.353113e+00
360, 9.448825e-01
361, 9.322947e+00
362, 7.504951e-01
363, 9.236557e+00
364, 1.482854e+00
365, 9.376424e+00
366, -7.155728e-01
367, 9.608027e+00
368, 1.235532e+01
369, 1.408836e+01
370, -2.150998e+01
371, 1.900929e+01
372, 7.581144e+01
373, 3.075191e+00
374, -2.083016e+01
375, -5.587173e+00
376, -9.531989e+00
377, -8.844413e+00
378, -1.167363e+01
379, 1.167363e+01
380, 1.360245e-12
381, 4.270806e-12
382, -2.372398e+01
383, -2.746204e+01
384, -1.644499e+01
385, 2.372398e+01
386, 2.746204e+01
387, 1.644499e+01
388, -2.371452e+01
389, -2.167577e+01
390, -2.108256e+01
391, 2.371452e+01
392, 2.167577e+01
393, 2.108256e+01
394, -2.359665e+01
395, -1.997577e+01
396, -2.132183e+01
397, 2.359665e+01
398, 1.997577e+01
399, 2.132183e+01
400, -2.343726e+01
401, -2.033778e+01
402, -2.096232e+01
403, 2.343726e+01
404, 2.033778e+01
405, 2.096232e+01
406, -2.344084e+01
407, -2.050890e+01
408, -2.073158e+01
409, 2.344084e+01
410, 2.050890e+01
411, 2.073158e+01
412, -2.343687e+01
413, -2.059970e+01
414, -2.065215e+01
415, 2.343687e+01
416, 2.059970e+01
417, 2.065215e+01
418, -2.343752e+01
419, -2.062263e+01
420, -2.062674e+01
421, 2.343752e+01
422, 2.062263e+01
423, 2.062674e+01
424, -2.343748e+01
425, -2.062684e+01
426, -2.062325e+01
427, 2.343748e+01
428, 2.062684e+01
429, 2.062325e+01
430, -2.343750e+01
431, -2.062622e+01
432, -2.062375e+01
433, 2.343750e+01
434, 2.062622e+01
435, 2.062375e+01
436, -2.343750e+01
437, -2.062635e+01
438, -2.062371e+01
439, 2.343750e+01
440, 2.062635e+01
441, 2.062371e+01
442, -2.343746e+01
443, -2.063026e+01
444, -2.061947e+01
445, 2.343746e+01
446, 2.063026e+01
447, 2.061947e+01
448, -2.343818e+01
449, -2.064430e+01
450, -2.060691e+01
451, 2.343818e+01
452, 2.064430e+01
453, 2.060691e+01
454, -2.343676e+01
455, -2.067260e+01
456, -2.057261e+01
457, 2.343676e+01
458, 2.067260e+01
459, 2.057261e+01
460, -2.345737e+01
461, -2.071615e+01
462, -2.055790e+01
463, 2.345737e+01
464, 2.071615e+01
465, 2.055790e+01
466, -2.337562e+01
467, -2.060436e+01
468, -2.057724e+01
469, 2.337562e+01
470, 2.060436e+01
471, 2.057724e+01
472, -2.341349e+01
473, -2.001675e+01
474, -2.160015e+01
475, 2.341349e+01
476, 2.001675e+01
477, 2.160015e+01
478, -1.960046e+01
479, -1.696239e+01
480, -2.285225e+01
481, 1.960046e+01
482, 1.696239e+01
483, 2.285225e+01
484, -6.400079e+00
485, -8.222541e+00
486, -3.335916e+01
487, 8.222541e+00
488, 6.400079e+00
489, 3.335916e+01
490, 9.638355e+00
491, -1.674196e+00
492, 6.014801e+00
493, -6.174363e+00
494, -1.437168e+01
495, -1.717529e+01
496, -1.791185e+01
497, -1.793373e+01
498, -1.787574e+01
499, -1.783438e+01
500, -1.781839e+01
501, -1.781481e+01
502, -1.781539e+01
503, -1.781281e+01
504, -1.778793e+01
505, -1.768955e+01
506, -1.740669e+01
507, -1.690077e+01
508, -1.620183e+01
509, -2.128097e+01
510, -1.684240e+01
511, 1.684240e+01
512, 2.128097e+01
513, 1.620183e+01
514, 1.690077e+01
515, 1.740669e+01
516, 1.768955e+01
517, 1.778793e+01
518, 1.781281e+01
519, 1.781539e+01
520, 1.781481e+01
521, 1.781839e+01
522, 1.783438e+01
523, 1.787574e+01
524, 1.793373e+01
525, 1.791185e+01
526, 1.717529e+01
527, 1.437168e+01
528, 6.174363e+00
529, -6.014801e+00
