NodeID, Uy
414, -1.688407e-01
415, -1.639161e-01
416, -1.686598e-01
417, -1.688407e-01
418, -1.534352e-01
419, -1.586671e-01
420, -1.588470e-01
421, -1.534352e-01
422, -1.586671e-01
423, -1.588470e-01
424, -1.420950e-01
425, -1.477443e-01
426, -1.479240e-01
427, -1.420950e-01
428, -1.477443e-01
429, -1.479240e-01
430, -1.300361e-01
431, -1.360325e-01
432, -1.362121e-01
433, -1.300361e-01
434, -1.360325e-01
435, -1.362121e-01
436, -1.173992e-01
437, -1.236722e-01
438, -1.238519e-01
439, -1.173992e-01
440, -1.236722e-01
441, -1.238519e-01
442, -1.043247e-01
443, -1.108041e-01
444, -1.109840e-01
445, -1.043247e-01
446, -1.108041e-01
447, -1.109840e-01
448, -9.095355e-02
449, -9.756879e-02
450, -9.774915e-02
451, -9.095355e-02
452, -9.756879e-02
453, -9.774915e-02
454, -7.742608e-02
455, -8.410681e-02
456, -8.428783e-02
457, -7.742608e-02
458, -8.410681e-02
459, -8.428783e-02
460, -6.388324e-02
461, -7.055956e-02
462, -7.074031e-02
463, -6.388324e-02
464, -7.055956e-02
465, -7.074031e-02
466, -5.046484e-02
467, -5.707009e-02
468, -5.724347e-02
469, -5.046484e-02
470, -5.707009e-02
471, -5.724347e-02
472, -3.731544e-02
473, -4.378934e-02
474, -4.393201e-02
475, -3.731544e-02
476, -4.378934e-02
477, -4.393201e-02
478, -2.458506e-02
479, -3.087886e-02
480, -3.092252e-02
481, -2.458506e-02
482, -3.087886e-02
483, -3.092252e-02
484, -1.250913e-02
485, -1.852026e-02
486, -1.837525e-02
487, -1.852026e-02
488, -1.250913e-02
489, -1.837525e-02
490, -6.849999e-03
491, -6.627186e-03
492, -1.266436e-02
493, -2.465319e-02
494, -3.725770e-02
495, -5.033955e-02
496, -6.372308e-02
497, -7.724279e-02
498, -9.074957e-02
499, -1.041002e-01
500, -1.171537e-01
501, -1.297697e-01
502, -1.418075e-01
503, -1.531266e-01
504, -1.635859e-01
505, -1.730442e-01
506, -1.813601e-01
507, -1.883926e-01
508, -1.940177e-01
509, -1.981539e-01
510, -2.008531e-01
511, -2.008531e-01
512, -1.981539e-01
513, -1.940177e-01
514, -1.883926e-01
515, -1.813601e-01
516, -1.730442e-01
517, -1.635859e-01
518, -1.531266e-01
519, -1.418075e-01
520, -1.297697e-01
521, -1.171537e-01
522, -1.041002e-01
523, -9.074957e-02
524, -7.724279e-02
525, -6.372308e-02
526, -5.033955e-02
527, -3.725770e-02
528, -2.465319e-02
529, -1.266436e-02
530, -6.849999e-03
531, -6.627186e-03
532, -1.219825e-02
533, -2.464473e-02
534, -3.748847e-02
535, -5.067055e-02
536, -6.408085e-02
537, -7.760479e-02
538, -9.111066e-02
539, -1.044603e-01
540, -1.175133e-01
541, -1.301291e-01
542, -1.421669e-01
543, -1.534861e-01
544, -1.639464e-01
545, -1.734078e-01
546, -1.817307e-01
547, -1.887736e-01
548, -1.943844e-01
549, -1.983746e-01
550, -2.004864e-01
551, -2.004864e-01
552, -1.983746e-01
553, -1.943844e-01
554, -1.887736e-01
555, -1.817307e-01
556, -1.734078e-01
557, -1.639464e-01
558, -1.534861e-01
559, -1.421669e-01
560, -1.301291e-01
561, -1.175133e-01
562, -1.044603e-01
563, -9.111066e-02
564, -7.760479e-02
565, -6.408085e-02
566, -5.067055e-02
567, -3.748847e-02
568, -2.464473e-02
569, -1.219825e-02
