NodeID, Sx
254, -2.411992e+02
255, -3.710987e+02
256, -2.589665e+02
257, -3.710987e+02
258, -2.909419e+02
259, -3.085815e+02
260, -2.589665e+02
261, -2.931445e+02
262, -2.411992e+02
263, -2.735011e+02
264, -2.258129e+02
265, -2.524102e+02
266, -2.096212e+02
267, -2.303228e+02
268, -1.931276e+02
269, -2.079225e+02
270, -1.763375e+02
271, -1.854271e+02
272, -1.594829e+02
273, -1.629198e+02
274, -1.426056e+02
275, -1.404150e+02
276, -1.257280e+02
277, -1.179103e+02
278, -1.088513e+02
279, -9.539016e+01
280, -9.197183e+01
281, -7.281991e+01
282, -7.507906e+01
283, -5.012378e+01
284, -5.815152e+01
285, -2.731588e+01
286, -4.115949e+01
287, -4.727909e+00
288, -2.418276e+01
289, 1.528835e+01
290, -7.663221e+00
291, 2.688221e+01
292, 6.491319e+00
293, 2.075039e+01
294, 1.344952e+01
295, 7.328961e+00
296, -2.201849e+02
297, -1.728078e+02
298, -1.558904e+02
299, -1.375300e+02
300, -1.141134e+02
301, -1.081621e+02
302, -8.993056e+01
303, -8.828449e+01
304, -6.724989e+01
305, -7.107730e+01
306, -4.515898e+01
307, -5.429600e+01
308, -2.283501e+01
309, -3.754234e+01
310, -4.115948e-01
311, -2.071894e+01
312, 2.206977e+01
313, -3.862108e+00
314, 4.456466e+01
315, 1.300859e+01
316, 6.706009e+01
317, 2.988180e+01
318, 8.955226e+01
319, 4.675414e+01
320, 1.120597e+02
321, 6.362749e+01
322, 1.346512e+02
323, 8.052040e+01
324, 1.575723e+02
325, 9.748951e+01
326, 1.812363e+02
327, 1.146973e+02
328, 2.057828e+02
329, 1.323484e+02
330, 2.294152e+02
331, 1.501965e+02
332, 2.454409e+02
333, 1.657989e+02
334, 2.454409e+02
335, 1.731123e+02
336, 2.294152e+02
337, 1.657989e+02
338, 2.057828e+02
339, 1.501965e+02
340, 1.812363e+02
341, 1.323484e+02
342, 1.575723e+02
343, 1.146973e+02
344, 1.346512e+02
345, 9.748951e+01
346, 1.120597e+02
347, 8.052040e+01
348, 8.955226e+01
349, 6.362749e+01
350, 6.706009e+01
351, 4.675414e+01
352, 4.456466e+01
353, 2.988180e+01
354, 2.206977e+01
355, 1.300859e+01
356, -4.115948e-01
357, -3.862108e+00
358, -2.283501e+01
359, -2.071894e+01
360, -4.515898e+01
361, -3.754234e+01
362, -6.724989e+01
363, -5.429600e+01
364, -8.993056e+01
365, -7.107730e+01
366, -1.141134e+02
367, -8.828449e+01
368, -1.558904e+02
369, -1.081621e+02
370, -2.201849e+02
371, -1.375300e+02
372, -1.728078e+02
373, 1.947882e+01
374, 8.848238e+01
375, -6.395008e+00
376, 3.528047e+00
377, 3.185549e+00
378, -4.120928e+01
379, -4.120928e+01
380, -9.939171e+01
381, 2.554120e+01
382, -5.045062e+01
383, -1.226018e+02
384, 2.408925e+01
385, -5.045062e+01
386, -1.226018e+02
387, 2.408925e+01
388, -5.019469e+01
389, -1.167146e+02
390, 1.603712e+01
391, -5.019469e+01
392, -1.167146e+02
393, 1.603712e+01
394, -4.925090e+01
395, -1.087439e+02
396, 1.052826e+01
397, -4.925090e+01
398, -1.087439e+02
399, 1.052826e+01
400, -4.838579e+01
401, -1.024899e+02
402, 5.733583e+00
403, -4.838579e+01
404, -1.024899e+02
405, 5.733583e+00
406, -4.803433e+01
407, -9.644835e+01
408, 4.062645e-01
409, -4.803433e+01
410, -9.644835e+01
411, 4.062645e-01
412, -4.793109e+01
413, -9.074266e+01
414, -5.120382e+00
415, -4.793109e+01
416, -9.074266e+01
417, -5.120382e+00
418, -4.791211e+01
419, -8.509705e+01
420, -1.072774e+01
421, -4.791211e+01
422, -8.509705e+01
