NodeID, Ux
254, 6.339473e-03
255, 2.333848e-03
256, 3.140326e-03
257, -2.333848e-03
258, -2.407796e-15
259, -6.460090e-03
260, -3.140326e-03
261, -1.015825e-02
262, -6.339473e-03
263, -1.371157e-02
264, -9.246509e-03
265, -1.699948e-02
266, -1.197092e-02
267, -2.001852e-02
268, -1.448749e-02
269, -2.275792e-02
270, -1.679674e-02
271, -2.521651e-02
272, -1.889556e-02
273, -2.739368e-02
274, -2.078361e-02
275, -2.928952e-02
276, -2.246069e-02
277, -3.090407e-02
278, -2.392681e-02
279, -3.223729e-02
280, -2.518196e-02
281, -3.328878e-02
282, -2.622601e-02
283, -3.405757e-02
284, -2.705872e-02
285, -3.454129e-02
286, -2.767940e-02
287, -3.473853e-02
288, -2.808812e-02
289, -3.465884e-02
290, -2.828784e-02
291, -3.435969e-02
292, -2.829776e-02
293, -3.401346e-02
294, -2.817547e-02
295, -2.803730e-02
296, -1.161132e-02
297, -4.210020e-03
298, -1.348868e-02
299, -6.696780e-03
300, -1.518866e-02
301, -8.103581e-03
302, -1.642930e-02
303, -9.362537e-03
304, -1.741284e-02
305, -1.035187e-02
306, -1.811416e-02
307, -1.113753e-02
308, -1.853976e-02
309, -1.171109e-02
310, -1.868518e-02
311, -1.207535e-02
312, -1.854992e-02
313, -1.222894e-02
314, -1.813347e-02
315, -1.217178e-02
316, -1.743581e-02
317, -1.190371e-02
318, -1.645699e-02
319, -1.142473e-02
320, -1.519704e-02
321, -1.073484e-02
322, -1.365557e-02
323, -9.833892e-03
324, -1.183050e-02
325, -8.721278e-03
326, -9.715406e-03
327, -7.395077e-03
328, -7.296018e-03
329, -5.851085e-03
330, -4.562684e-03
331, -4.085694e-03
332, -1.557545e-03
333, -2.112083e-03
334, 1.557545e-03
335, -7.056855e-15
336, 4.562684e-03
337, 2.112083e-03
338, 7.296018e-03
339, 4.085694e-03
340, 9.715406e-03
341, 5.851085e-03
342, 1.183050e-02
343, 7.395077e-03
344, 1.365557e-02
345, 8.721278e-03
346, 1.519704e-02
347, 9.833892e-03
348, 1.645699e-02
349, 1.073484e-02
350, 1.743581e-02
351, 1.142473e-02
352, 1.813347e-02
353, 1.190371e-02
354, 1.854992e-02
355, 1.217178e-02
356, 1.868518e-02
357, 1.222894e-02
358, 1.853976e-02
359, 1.207535e-02
360, 1.811416e-02
361, 1.171109e-02
362, 1.741284e-02
363, 1.113753e-02
364, 1.642930e-02
365, 1.035187e-02
366, 1.518866e-02
367, 9.362537e-03
368, 1.348868e-02
369, 8.103581e-03
370, 1.161132e-02
371, 6.696780e-03
372, 4.210020e-03
373, -5.097489e-03
374, -1.136342e-04
375, -1.628987e-02
376, -1.050024e-02
377, -2.212522e-02
378, 2.301070e-04
379, -2.301070e-04
380, -3.982925e-15
381, -5.592748e-15
382, 7.298093e-04
383, 1.274617e-03
384, -3.722435e-04
385, -7.298093e-04
386, -1.274617e-03
387, 3.722435e-04
388, 1.344700e-03
389, 2.721858e-03
390, -6.327292e-04
391, -1.344700e-03
392, -2.721858e-03
393, 6.327292e-04
394, 1.969029e-03
395, 4.124377e-03
396, -7.974562e-04
397, -1.969029e-03
398, -4.124377e-03
399, 7.974562e-04
400, 2.578184e-03
401, 5.450935e-03
402, -8.965194e-04
403, -2.578184e-03
404, -5.450935e-03
405, 8.965194e-04
406, 3.181333e-03
407, 6.695142e-03
408, -9.332888e-04
409, -3.181333e-03
410, -6.695142e-03
411, 9.332888e-04
412, 3.781082e-03
413, 7.866012e-03
414, -9.030622e-04
415, -3.781082e-03
416, -7.866012e-03
417, 9.030622e-04
418, 4.380160e-03
419, 8.965131e-03
420, -8.038592e-04
421, -4.380160e-03
422, -8.965131e-03
423, 8.038592e-04
424, 4.979068e-03
425, 9.993743e-03
426, -6.345599e-04
427, -4.979068e-03
428, -9.993743e-03
429, 6.345599e-04
430, 5.578014e-03
431, 1.095202e-02
432, -3.949671e-04
433, -5.578014e-03
434, -1.095202e-02
435, 3.949671e-04
436, 6.177012e-03
437, 1.184003e-02
438, -8.502554e-05
439, -6.177012e-03
440, -1.184003e-02
441, 8.502554e-05
442, 6.776192e-03
443, 1.265779e-02
444, 2.953027e-04
445, -6.776192e-03
446, -1.265779e-02
447, -2.953027e-04
448, 7.375798e-03
449, 1.340544e-02
450, 7.461416e-04
451, -7.375798e-03
452, -1.340544e-02
453, -7.461416e-04
454, 7.976697e-03
455, 1.408343e-02
456, 1.267963e-03
457, -7.976697e-03
458, -1.408343e-02
459, -1.267963e-03
460, 8.578222e-03
461, 1.469201e-02
462, 1.860950e-03
463, -8.578222e-03
464, -1.469201e-02
465, -1.860950e-03
466, 9.179512e-03
467, 1.523141e-02
468, 2.525981e-03
469, -9.179512e-03
470, -1.523141e-02
471, -2.525981e-03
472, 9.750758e-03
473, 1.569228e-02
474, 3.251223e-03
475, -9.750758e-03
476, -1.569228e-02
477, -3.251223e-03
478, 1.024893e-02
479, 1.605227e-02
480, 4.020868e-03
481, -1.024893e-02
482, -1.605227e-02
483, -4.020868e-03
484, 1.048578e-02
485, 1.624573e-02
486, 4.678584e-03
487, -1.624573e-02
488, -1.048578e-02
489, -4.678584e-03
490, 1.626802e-02
491, 4.964624e-03
492, 2.215863e-02
493, 2.217854e-02
494, 2.206629e-02
495, 2.180543e-02
496, 2.140059e-02
497, 2.085580e-02
498, 2.017051e-02
499, 1.934493e-02
500, 1.837878e-02
501, 1.727203e-02
502, 1.602467e-02
503, 1.463670e-02
504, 1.310807e-02
505, 1.143884e-02
506, 9.627958e-03
507, 7.676336e-03
508, 5.571714e-03
509, 3.326164e-03
510, 9.829162e-04
511, -9.829162e-04
512, -3.326164e-03
513, -5.571714e-03
514, -7.676336e-03
515, -9.627958e-03
516, -1.143884e-02
517, -1.310807e-02
518, -1.463670e-02
519, -1.602467e-02
520, -1.727203e-02
521, -1.837878e-02
522, -1.934493e-02
523, -2.017051e-02
524, -2.085580e-02
525, -2.140059e-02
526, -2.180543e-02
527, -2.206629e-02
528, -2.217854e-02
529, -2.215863e-02
530, -1.626802e-02
531, -4.964624e-03
532, 5.137366e-04
533, 1.446450e-03
534, 2.531924e-03
535, 3.454438e-03
536, 4.252808e-03
537, 4.906635e-03
538, 5.420311e-03
539, 5.792869e-03
540, 6.024779e-03
541, 6.116023e-03
542, 6.066638e-03
543, 5.876612e-03
544, 5.545983e-03
545, 5.074794e-03
546, 4.463535e-03
547, 3.712825e-03
548, 2.822229e-03
549, 1.789146e-03
550, 6.216020e-04
551, -6.216020e-04
552, -1.789146e-03
553, -2.822229e-03
554, -3.712825e-03
555, -4.463535e-03
556, -5.074794e-03
557, -5.545983e-03
558, -5.876612e-03
559, -6.066638e-03
560, -6.116023e-03
561, -6.024779e-03
562, -5.792869e-03
563, -5.420311e-03
564, -4.906635e-03
565, -4.252808e-03
566, -3.454438e-03
567, -2.531924e-03
568, -1.446450e-03
569, -5.137366e-04
