NodeID, Sy
254, 2.793443e+00
255, -6.924607e+01
256, 8.962964e+00
257, -6.924607e+01
258, -1.380249e+02
259, 1.066800e+01
260, 8.962964e+00
261, -3.348760e+00
262, 2.793443e+00
263, 7.134584e-01
264, 2.769790e-01
265, -2.134804e-01
266, 1.884270e-01
267, 3.254632e-02
268, 5.086261e-02
269, -1.365908e-02
270, 1.957218e-02
271, 1.960358e-03
272, 2.372128e-03
273, -5.439318e-04
274, -8.205627e-05
275, 2.074637e-04
276, -5.571722e-04
277, -8.181765e-04
278, 4.921258e-04
279, -1.077693e-03
280, 2.854280e-03
281, -5.831368e-03
282, 9.159423e-03
283, -6.779136e-04
284, 1.982051e-02
285, 6.353546e-03
286, 1.284672e-02
287, 8.990530e-02
288, -5.967713e-02
289, 3.725142e-01
290, -4.997545e-01
291, 1.017934e+00
292, -1.695597e+00
293, 3.184052e-01
294, -3.081910e+00
295, -2.152641e-01
296, 3.606447e+01
297, -9.448088e+01
298, -8.171949e+00
299, 4.055831e+00
300, 2.637852e+00
301, -4.621831e+00
302, -4.815043e-01
303, 1.503025e-01
304, 1.547646e-01
305, -2.432497e-01
306, -3.990857e-02
307, 6.347213e-02
308, 4.903471e-03
309, 7.310884e-03
310, -4.030225e-03
311, 1.227029e-02
312, 4.104645e-05
313, 2.136726e-03
314, -1.983593e-04
315, 6.413753e-04
316, 2.206034e-04
317, -5.420797e-04
318, -7.715084e-04
319, -3.013039e-04
320, -2.891500e-03
321, 3.346210e-03
322, -1.047560e-02
323, 1.578494e-02
324, -3.299106e-02
325, 5.883406e-02
326, -1.927810e-02
327, 1.231087e-01
328, 7.811738e-02
329, 5.810770e-02
330, 3.228186e-01
331, -3.489057e-01
332, 1.071397e+00
333, -1.683937e+00
334, 1.071397e+00
335, -3.012971e+00
336, 3.228186e-01
337, -1.683937e+00
338, 7.811738e-02
339, -3.489057e-01
340, -1.927810e-02
341, 5.810770e-02
342, -3.299106e-02
343, 1.231087e-01
344, -1.047560e-02
345, 5.883406e-02
346, -2.891500e-03
347, 1.578494e-02
348, -7.715084e-04
349, 3.346210e-03
350, 2.206034e-04
351, -3.013039e-04
352, -1.983593e-04
353, -5.420797e-04
354, 4.104645e-05
355, 6.413753e-04
356, -4.030225e-03
357, 2.136726e-03
358, 4.903471e-03
